timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1727095675593,246,OpenWebTours,200,Ok,Order 1-1,text,true,,1016,482,1,1,http://localhost:8090/WebTours/welcome.pl?signOff=true,243,0,14
1727095675843,419,NavForSignOFF,200,Ok,Order 1-1,text,true,,3013,586,1,1,http://localhost:8090/WebTours/nav.pl?in=home,419,0,0
1727095676459,434,Login,200,Ok,Order 1-1,text,true,,822,805,1,1,http://localhost:8090/WebTours/login.pl,434,0,0
1727095676895,220,OpenHome,200,Ok,Order 1-1,text,true,,1143,716,1,1,http://localhost:8090/WebTours/login.pl?intro=true,220,0,0
1727095677116,222,NavForLogin,200,Ok,Order 1-1,text,true,,1729,721,1,1,http://localhost:8090/WebTours/nav.pl?page=menu&in=home,222,0,0
1727095677339,214,ClickFlights,200,Ok,Order 1-1,text,true,,735,735,1,1,http://localhost:8090/WebTours/welcome.pl?page=search,214,0,0
1727095677554,227,NavToFlights,200,Ok,Order 1-1,text,true,,1729,738,1,1,http://localhost:8090/WebTours/nav.pl?page=menu&in=flights,227,0,0
1727095677782,219,OpenFindFlights,200,Ok,Order 1-1,text,true,,4435,739,1,1,http://localhost:8090/WebTours/reservations.pl?page=welcome,219,0,0
1727095678382,221,FillSearch,200,Ok,Order 1-1,text,true,,2611,1071,1,1,http://localhost:8090/WebTours/reservations.pl,221,0,0
1727095678622,434,SelectFlight,200,Ok,Order 1-1,text,true,,3033,965,1,1,http://localhost:8090/WebTours/reservations.pl,434,0,0
1727095679065,228,PaymentDet,200,Ok,Order 1-1,text,true,,2819,1145,1,1,http://localhost:8090/WebTours/reservations.pl,228,0,0
1727095679299,215,OpenWebTours,200,Ok,Order 1-1,text,true,,1016,688,1,1,http://localhost:8090/WebTours/welcome.pl?signOff=true,215,0,0
1727095679515,224,NavForSignOFF,200,Ok,Order 1-1,text,true,,3013,586,1,1,http://localhost:8090/WebTours/nav.pl?in=home,224,0,0
1727095679742,216,Login,200,Ok,Order 1-1,text,true,,822,805,1,1,http://localhost:8090/WebTours/login.pl,215,0,0
1727095679958,223,OpenHome,200,Ok,Order 1-1,text,true,,1143,716,1,1,http://localhost:8090/WebTours/login.pl?intro=true,223,0,0
1727095680183,222,NavForLogin,200,Ok,Order 1-1,text,true,,1729,721,1,1,http://localhost:8090/WebTours/nav.pl?page=menu&in=home,222,0,0
1727095680406,213,ClickFlights,200,Ok,Order 1-1,text,true,,735,735,1,1,http://localhost:8090/WebTours/welcome.pl?page=search,213,0,0
1727095680620,434,NavToFlights,200,Ok,Order 1-1,text,true,,1729,738,1,1,http://localhost:8090/WebTours/nav.pl?page=menu&in=flights,433,0,0
1727095681054,222,OpenFindFlights,200,Ok,Order 1-1,text,true,,4435,739,1,1,http://localhost:8090/WebTours/reservations.pl?page=welcome,222,0,0
1727095681280,219,FillSearch,200,Ok,Order 1-1,text,true,,2616,1075,1,1,http://localhost:8090/WebTours/reservations.pl,219,0,0
1727095681502,233,SelectFlight,200,Ok,Order 1-1,text,true,,2968,968,1,1,http://localhost:8090/WebTours/reservations.pl,233,0,0
1727095681741,229,PaymentDet,200,Ok,Order 1-1,text,true,,2815,1148,1,1,http://localhost:8090/WebTours/reservations.pl,229,0,0
1727095681971,221,OpenWebTours,200,Ok,Order 1-1,text,true,,1016,688,1,1,http://localhost:8090/WebTours/welcome.pl?signOff=true,221,0,1
1727095682193,218,NavForSignOFF,200,Ok,Order 1-1,text,true,,3010,586,1,1,http://localhost:8090/WebTours/nav.pl?in=home,218,0,0
1727095682413,218,Login,200,Ok,Order 1-1,text,true,,822,804,1,1,http://localhost:8090/WebTours/login.pl,218,0,0
1727095682631,224,OpenHome,200,Ok,Order 1-1,text,true,,1143,716,1,1,http://localhost:8090/WebTours/login.pl?intro=true,223,0,0
1727095682855,222,NavForLogin,200,Ok,Order 1-1,text,true,,1729,721,1,1,http://localhost:8090/WebTours/nav.pl?page=menu&in=home,222,0,0
1727095683077,215,ClickFlights,200,Ok,Order 1-1,text,true,,735,735,1,1,http://localhost:8090/WebTours/welcome.pl?page=search,215,0,0
1727095683292,228,NavToFlights,200,Ok,Order 1-1,text,true,,1729,738,1,1,http://localhost:8090/WebTours/nav.pl?page=menu&in=flights,228,0,0
1727095683521,426,OpenFindFlights,200,Ok,Order 1-1,text,true,,4435,739,1,1,http://localhost:8090/WebTours/reservations.pl?page=welcome,426,0,0
1727095683950,424,FillSearch,200,Ok,Order 1-1,text,true,,2611,1067,1,1,http://localhost:8090/WebTours/reservations.pl,424,0,0
1727095684376,234,SelectFlight,200,Ok,Order 1-1,text,true,,2967,966,1,1,http://localhost:8090/WebTours/reservations.pl,234,0,0
1727095684616,438,PaymentDet,200,Ok,Order 1-1,text,true,,2806,1146,1,1,http://localhost:8090/WebTours/reservations.pl,438,0,0
1727095685055,428,OpenWebTours,200,Ok,Order 1-1,text,true,,1016,688,1,1,http://localhost:8090/WebTours/welcome.pl?signOff=true,428,0,0
1727095685483,222,NavForSignOFF,200,Ok,Order 1-1,text,true,,3012,586,1,1,http://localhost:8090/WebTours/nav.pl?in=home,222,0,0
1727095685707,218,Login,200,Ok,Order 1-1,text,true,,822,805,1,1,http://localhost:8090/WebTours/login.pl,218,0,0
1727095685926,425,OpenHome,200,Ok,Order 1-1,text,true,,1143,716,1,1,http://localhost:8090/WebTours/login.pl?intro=true,425,0,0
1727095686352,221,NavForLogin,200,Ok,Order 1-1,text,true,,1729,721,1,1,http://localhost:8090/WebTours/nav.pl?page=menu&in=home,221,0,0
1727095686573,213,ClickFlights,200,Ok,Order 1-1,text,true,,735,735,1,1,http://localhost:8090/WebTours/welcome.pl?page=search,213,0,0
1727095686787,432,NavToFlights,200,Ok,Order 1-1,text,true,,1729,738,1,1,http://localhost:8090/WebTours/nav.pl?page=menu&in=flights,432,0,0
1727095687219,222,OpenFindFlights,200,Ok,Order 1-1,text,true,,4435,739,1,1,http://localhost:8090/WebTours/reservations.pl?page=welcome,221,0,0
1727095687443,438,FillSearch,200,Ok,Order 1-1,text,true,,2607,1065,1,1,http://localhost:8090/WebTours/reservations.pl,438,0,0
1727095687883,219,SelectFlight,200,Ok,Order 1-1,text,true,,3034,966,1,1,http://localhost:8090/WebTours/reservations.pl,219,0,0
1727095688108,437,PaymentDet,200,Ok,Order 1-1,text,true,,2808,1146,1,1,http://localhost:8090/WebTours/reservations.pl,437,0,0
1727095688546,219,OpenWebTours,200,Ok,Order 1-1,text,true,,1016,688,1,1,http://localhost:8090/WebTours/welcome.pl?signOff=true,219,0,0
1727095688765,222,NavForSignOFF,200,Ok,Order 1-1,text,true,,3007,586,1,1,http://localhost:8090/WebTours/nav.pl?in=home,222,0,0
1727095688989,218,Login,200,Ok,Order 1-1,text,true,,822,803,1,1,http://localhost:8090/WebTours/login.pl,218,0,0
1727095689208,430,OpenHome,200,Ok,Order 1-1,text,true,,1143,716,1,1,http://localhost:8090/WebTours/login.pl?intro=true,430,0,0
1727095689638,222,NavForLogin,200,Ok,Order 1-1,text,true,,1729,721,1,1,http://localhost:8090/WebTours/nav.pl?page=menu&in=home,222,0,0
1727095689860,213,ClickFlights,200,Ok,Order 1-1,text,true,,735,735,1,1,http://localhost:8090/WebTours/welcome.pl?page=search,213,0,0
1727095690074,431,NavToFlights,200,Ok,Order 1-1,text,true,,1729,738,1,1,http://localhost:8090/WebTours/nav.pl?page=menu&in=flights,431,0,0
1727095690506,220,OpenFindFlights,200,Ok,Order 1-1,text,true,,4435,739,1,1,http://localhost:8090/WebTours/reservations.pl?page=welcome,220,0,0
1727095690729,220,FillSearch,200,Ok,Order 1-1,text,true,,2601,1066,1,1,http://localhost:8090/WebTours/reservations.pl,220,0,0
1727095690952,221,SelectFlight,200,Ok,Order 1-1,text,true,,3032,965,1,1,http://localhost:8090/WebTours/reservations.pl,221,0,0
1727095691179,230,PaymentDet,200,Ok,Order 1-1,text,true,,2806,1145,1,1,http://localhost:8090/WebTours/reservations.pl,230,0,0
1727095691410,219,OpenWebTours,200,Ok,Order 1-1,text,true,,1016,688,1,1,http://localhost:8090/WebTours/welcome.pl?signOff=true,219,0,1
1727095691630,425,NavForSignOFF,200,Ok,Order 1-1,text,true,,3013,586,1,1,http://localhost:8090/WebTours/nav.pl?in=home,425,0,0
1727095692058,217,Login,200,Ok,Order 1-1,text,true,,822,805,1,1,http://localhost:8090/WebTours/login.pl,217,0,0
1727095692276,426,OpenHome,200,Ok,Order 1-1,text,true,,1143,716,1,1,http://localhost:8090/WebTours/login.pl?intro=true,426,0,0
1727095692703,428,NavForLogin,200,Ok,Order 1-1,text,true,,1729,721,1,1,http://localhost:8090/WebTours/nav.pl?page=menu&in=home,428,0,0
1727095693131,217,ClickFlights,200,Ok,Order 1-1,text,true,,735,735,1,1,http://localhost:8090/WebTours/welcome.pl?page=search,217,0,0
1727095693348,434,NavToFlights,200,Ok,Order 1-1,text,true,,1729,738,1,1,http://localhost:8090/WebTours/nav.pl?page=menu&in=flights,434,0,0
1727095693783,220,OpenFindFlights,200,Ok,Order 1-1,text,true,,4435,739,1,1,http://localhost:8090/WebTours/reservations.pl?page=welcome,220,0,0
1727095694006,234,FillSearch,200,Ok,Order 1-1,text,true,,2616,1075,1,1,http://localhost:8090/WebTours/reservations.pl,234,0,0
1727095694243,232,SelectFlight,200,Ok,Order 1-1,text,true,,3035,968,1,1,http://localhost:8090/WebTours/reservations.pl,232,0,0
1727095694480,231,PaymentDet,200,Ok,Order 1-1,text,true,,2821,1148,1,1,http://localhost:8090/WebTours/reservations.pl,231,0,0
1727095694712,429,OpenWebTours,200,Ok,Order 1-1,text,true,,1016,688,1,1,http://localhost:8090/WebTours/welcome.pl?signOff=true,429,0,1
1727095695142,224,NavForSignOFF,200,Ok,Order 1-1,text,true,,3010,586,1,1,http://localhost:8090/WebTours/nav.pl?in=home,224,0,0
1727095695368,226,Login,200,Ok,Order 1-1,text,true,,822,804,1,1,http://localhost:8090/WebTours/login.pl,226,0,0
1727095695594,426,OpenHome,200,Ok,Order 1-1,text,true,,1143,716,1,1,http://localhost:8090/WebTours/login.pl?intro=true,426,0,0
1727095696020,430,NavForLogin,200,Ok,Order 1-1,text,true,,1729,721,1,1,http://localhost:8090/WebTours/nav.pl?page=menu&in=home,430,0,0
1727095696450,216,ClickFlights,200,Ok,Order 1-1,text,true,,735,735,1,1,http://localhost:8090/WebTours/welcome.pl?page=search,216,0,0
1727095696666,429,NavToFlights,200,Ok,Order 1-1,text,true,,1729,738,1,1,http://localhost:8090/WebTours/nav.pl?page=menu&in=flights,429,0,0
1727095697096,430,OpenFindFlights,200,Ok,Order 1-1,text,true,,4435,739,1,1,http://localhost:8090/WebTours/reservations.pl?page=welcome,430,0,0
1727095697530,230,FillSearch,200,Ok,Order 1-1,text,true,,2623,1073,1,1,http://localhost:8090/WebTours/reservations.pl,230,0,0
1727095697764,231,SelectFlight,200,Ok,Order 1-1,text,true,,2967,966,1,1,http://localhost:8090/WebTours/reservations.pl,231,0,0
1727095698001,228,PaymentDet,200,Ok,Order 1-1,text,true,,2817,1146,1,1,http://localhost:8090/WebTours/reservations.pl,228,0,0
1727095698230,422,OpenWebTours,200,Ok,Order 1-1,text,true,,1016,688,1,1,http://localhost:8090/WebTours/welcome.pl?signOff=true,422,0,0
1727095698652,222,NavForSignOFF,200,Ok,Order 1-1,text,true,,2995,586,1,1,http://localhost:8090/WebTours/nav.pl?in=home,222,0,0
1727095698876,219,Login,200,Ok,Order 1-1,text,true,,822,799,1,1,http://localhost:8090/WebTours/login.pl,218,0,0
1727095699095,220,OpenHome,200,Ok,Order 1-1,text,true,,1143,716,1,1,http://localhost:8090/WebTours/login.pl?intro=true,220,0,0
1727095699316,426,NavForLogin,200,Ok,Order 1-1,text,true,,1729,721,1,1,http://localhost:8090/WebTours/nav.pl?page=menu&in=home,426,0,0
1727095699742,215,ClickFlights,200,Ok,Order 1-1,text,true,,735,735,1,1,http://localhost:8090/WebTours/welcome.pl?page=search,215,0,0
1727095699957,435,NavToFlights,200,Ok,Order 1-1,text,true,,1729,738,1,1,http://localhost:8090/WebTours/nav.pl?page=menu&in=flights,435,0,0
1727095700392,427,OpenFindFlights,200,Ok,Order 1-1,text,true,,4435,739,1,1,http://localhost:8090/WebTours/reservations.pl?page=welcome,427,0,0
1727095700822,219,FillSearch,200,Ok,Order 1-1,text,true,,2611,1071,1,1,http://localhost:8090/WebTours/reservations.pl,219,0,0
1727095701044,439,SelectFlight,200,Ok,Order 1-1,text,true,,3099,965,1,1,http://localhost:8090/WebTours/reservations.pl,439,0,0
1727095701489,232,PaymentDet,200,Ok,Order 1-1,text,true,,2817,1145,1,1,http://localhost:8090/WebTours/reservations.pl,232,0,0
1727095701721,222,OpenWebTours,200,Ok,Order 1-1,text,true,,1016,688,1,1,http://localhost:8090/WebTours/welcome.pl?signOff=true,222,0,1
1727095701943,221,NavForSignOFF,200,Ok,Order 1-1,text,true,,3001,586,1,1,http://localhost:8090/WebTours/nav.pl?in=home,221,0,0
1727095702166,219,Login,200,Ok,Order 1-1,text,true,,822,801,1,1,http://localhost:8090/WebTours/login.pl,219,0,0
1727095702385,220,OpenHome,200,Ok,Order 1-1,text,true,,1143,716,1,1,http://localhost:8090/WebTours/login.pl?intro=true,220,0,0
1727095702605,227,NavForLogin,200,Ok,Order 1-1,text,true,,1729,721,1,1,http://localhost:8090/WebTours/nav.pl?page=menu&in=home,227,0,0
1727095702832,212,ClickFlights,200,Ok,Order 1-1,text,true,,735,735,1,1,http://localhost:8090/WebTours/welcome.pl?page=search,212,0,0
1727095703045,229,NavToFlights,200,Ok,Order 1-1,text,true,,1729,738,1,1,http://localhost:8090/WebTours/nav.pl?page=menu&in=flights,229,0,0
1727095703274,216,OpenFindFlights,200,Ok,Order 1-1,text,true,,4435,739,1,1,http://localhost:8090/WebTours/reservations.pl?page=welcome,216,0,0
1727095703493,232,FillSearch,200,Ok,Order 1-1,text,true,,2615,1069,1,1,http://localhost:8090/WebTours/reservations.pl,232,0,0
1727095703728,233,SelectFlight,200,Ok,Order 1-1,text,true,,3034,966,1,1,http://localhost:8090/WebTours/reservations.pl,233,0,0
1727095703966,232,PaymentDet,200,Ok,Order 1-1,text,true,,2816,1146,1,1,http://localhost:8090/WebTours/reservations.pl,232,0,0
1727095704199,218,OpenWebTours,200,Ok,Order 1-1,text,true,,1016,688,1,1,http://localhost:8090/WebTours/welcome.pl?signOff=true,218,0,0
1727095704417,221,NavForSignOFF,200,Ok,Order 1-1,text,true,,2986,586,1,1,http://localhost:8090/WebTours/nav.pl?in=home,221,0,0
1727095704639,217,Login,200,Ok,Order 1-1,text,true,,822,796,1,1,http://localhost:8090/WebTours/login.pl,217,0,0
1727095704856,425,OpenHome,200,Ok,Order 1-1,text,true,,1143,716,1,1,http://localhost:8090/WebTours/login.pl?intro=true,425,0,0
1727095705281,223,NavForLogin,200,Ok,Order 1-1,text,true,,1729,721,1,1,http://localhost:8090/WebTours/nav.pl?page=menu&in=home,223,0,0
1727095705505,213,ClickFlights,200,Ok,Order 1-1,text,true,,735,735,1,1,http://localhost:8090/WebTours/welcome.pl?page=search,213,0,0
1727095705719,212,NavToFlights,200,Ok,Order 1-1,text,true,,1729,738,1,1,http://localhost:8090/WebTours/nav.pl?page=menu&in=flights,212,0,0
1727095705932,423,OpenFindFlights,200,Ok,Order 1-1,text,true,,4435,739,1,1,http://localhost:8090/WebTours/reservations.pl?page=welcome,423,0,0
1727095706357,219,FillSearch,200,Ok,Order 1-1,text,true,,2607,1065,1,1,http://localhost:8090/WebTours/reservations.pl,219,0,0
1727095706579,439,SelectFlight,200,Ok,Order 1-1,text,true,,3101,966,1,1,http://localhost:8090/WebTours/reservations.pl,439,0,0
1727095707024,436,PaymentDet,200,Ok,Order 1-1,text,true,,2808,1146,1,1,http://localhost:8090/WebTours/reservations.pl,436,0,0
1727095707461,218,OpenWebTours,200,Ok,Order 1-1,text,true,,1016,688,1,1,http://localhost:8090/WebTours/welcome.pl?signOff=true,218,0,1
1727095707680,422,NavForSignOFF,200,Ok,Order 1-1,text,true,,2998,586,1,1,http://localhost:8090/WebTours/nav.pl?in=home,422,0,0
1727095708104,231,Login,200,Ok,Order 1-1,text,true,,822,800,1,1,http://localhost:8090/WebTours/login.pl,231,0,0
1727095708336,222,OpenHome,200,Ok,Order 1-1,text,true,,1143,716,1,1,http://localhost:8090/WebTours/login.pl?intro=true,222,0,0
1727095708558,220,NavForLogin,200,Ok,Order 1-1,text,true,,1729,721,1,1,http://localhost:8090/WebTours/nav.pl?page=menu&in=home,220,0,0
1727095708778,212,ClickFlights,200,Ok,Order 1-1,text,true,,735,735,1,1,http://localhost:8090/WebTours/welcome.pl?page=search,212,0,0
1727095708991,215,NavToFlights,200,Ok,Order 1-1,text,true,,1729,738,1,1,http://localhost:8090/WebTours/nav.pl?page=menu&in=flights,215,0,0
1727095709206,218,OpenFindFlights,200,Ok,Order 1-1,text,true,,4435,739,1,1,http://localhost:8090/WebTours/reservations.pl?page=welcome,218,0,0
1727095709426,235,FillSearch,200,Ok,Order 1-1,text,true,,2603,1067,1,1,http://localhost:8090/WebTours/reservations.pl,235,0,0
1727095709663,234,SelectFlight,200,Ok,Order 1-1,text,true,,2965,965,1,1,http://localhost:8090/WebTours/reservations.pl,234,0,0
1727095709903,435,PaymentDet,200,Ok,Order 1-1,text,true,,2802,1145,1,1,http://localhost:8090/WebTours/reservations.pl,435,0,0
1727095710340,217,OpenWebTours,200,Ok,Order 1-1,text,true,,1016,688,1,1,http://localhost:8090/WebTours/welcome.pl?signOff=true,217,0,1
1727095710558,223,NavForSignOFF,200,Ok,Order 1-1,text,true,,2995,586,1,1,http://localhost:8090/WebTours/nav.pl?in=home,223,0,0
1727095710783,218,Login,200,Ok,Order 1-1,text,true,,822,799,1,1,http://localhost:8090/WebTours/login.pl,218,0,0
1727095711002,222,OpenHome,200,Ok,Order 1-1,text,true,,1143,716,1,1,http://localhost:8090/WebTours/login.pl?intro=true,222,0,0
1727095711225,221,NavForLogin,200,Ok,Order 1-1,text,true,,1729,721,1,1,http://localhost:8090/WebTours/nav.pl?page=menu&in=home,221,0,0
1727095711446,213,ClickFlights,200,Ok,Order 1-1,text,true,,735,735,1,1,http://localhost:8090/WebTours/welcome.pl?page=search,213,0,0
1727095711659,213,NavToFlights,200,Ok,Order 1-1,text,true,,1729,738,1,1,http://localhost:8090/WebTours/nav.pl?page=menu&in=flights,213,0,0
1727095711873,221,OpenFindFlights,200,Ok,Order 1-1,text,true,,4435,739,1,1,http://localhost:8090/WebTours/reservations.pl?page=welcome,221,0,0
1727095712096,234,FillSearch,200,Ok,Order 1-1,text,true,,2602,1068,1,1,http://localhost:8090/WebTours/reservations.pl,234,0,0
1727095712333,233,SelectFlight,200,Ok,Order 1-1,text,true,,2968,968,1,1,http://localhost:8090/WebTours/reservations.pl,233,0,0
1727095712572,231,PaymentDet,200,Ok,Order 1-1,text,true,,2802,1148,1,1,http://localhost:8090/WebTours/reservations.pl,231,0,0
1727095712804,424,OpenWebTours,200,Ok,Order 1-1,text,true,,1016,688,1,1,http://localhost:8090/WebTours/welcome.pl?signOff=true,424,0,0
1727095713228,426,NavForSignOFF,200,Ok,Order 1-1,text,true,,3007,586,1,1,http://localhost:8090/WebTours/nav.pl?in=home,426,0,0
1727095713656,423,Login,200,Ok,Order 1-1,text,true,,822,803,1,1,http://localhost:8090/WebTours/login.pl,423,0,0
1727095714079,220,OpenHome,200,Ok,Order 1-1,text,true,,1143,716,1,1,http://localhost:8090/WebTours/login.pl?intro=true,220,0,0
1727095714300,224,NavForLogin,200,Ok,Order 1-1,text,true,,1729,721,1,1,http://localhost:8090/WebTours/nav.pl?page=menu&in=home,224,0,0
1727095714524,216,ClickFlights,200,Ok,Order 1-1,text,true,,735,735,1,1,http://localhost:8090/WebTours/welcome.pl?page=search,216,0,0
1727095714741,227,NavToFlights,200,Ok,Order 1-1,text,true,,1729,738,1,1,http://localhost:8090/WebTours/nav.pl?page=menu&in=flights,227,0,0
1727095714968,221,OpenFindFlights,200,Ok,Order 1-1,text,true,,4435,739,1,1,http://localhost:8090/WebTours/reservations.pl?page=welcome,221,0,0
1727095715191,234,FillSearch,200,Ok,Order 1-1,text,true,,2615,1073,1,1,http://localhost:8090/WebTours/reservations.pl,234,0,0
1727095715427,221,SelectFlight,200,Ok,Order 1-1,text,true,,3032,965,1,1,http://localhost:8090/WebTours/reservations.pl,221,0,0
1727095715653,232,PaymentDet,200,Ok,Order 1-1,text,true,,2821,1145,1,1,http://localhost:8090/WebTours/reservations.pl,232,0,0
1727095715885,217,OpenWebTours,200,Ok,Order 1-1,text,true,,1016,688,1,1,http://localhost:8090/WebTours/welcome.pl?signOff=true,217,0,1
1727095716102,222,NavForSignOFF,200,Ok,Order 1-1,text,true,,3012,586,1,1,http://localhost:8090/WebTours/nav.pl?in=home,222,0,0
1727095716325,217,Login,200,Ok,Order 1-1,text,true,,822,805,1,1,http://localhost:8090/WebTours/login.pl,217,0,0
1727095716542,221,OpenHome,200,Ok,Order 1-1,text,true,,1143,716,1,1,http://localhost:8090/WebTours/login.pl?intro=true,221,0,0
1727095716764,220,NavForLogin,200,Ok,Order 1-1,text,true,,1729,721,1,1,http://localhost:8090/WebTours/nav.pl?page=menu&in=home,220,0,0
1727095716985,215,ClickFlights,200,Ok,Order 1-1,text,true,,735,735,1,1,http://localhost:8090/WebTours/welcome.pl?page=search,214,0,0
1727095717200,227,NavToFlights,200,Ok,Order 1-1,text,true,,1729,738,1,1,http://localhost:8090/WebTours/nav.pl?page=menu&in=flights,227,0,0
1727095717427,222,OpenFindFlights,200,Ok,Order 1-1,text,true,,4435,739,1,1,http://localhost:8090/WebTours/reservations.pl?page=welcome,222,0,0
1727095717651,234,FillSearch,200,Ok,Order 1-1,text,true,,2607,1065,1,1,http://localhost:8090/WebTours/reservations.pl,233,0,0
1727095717887,425,SelectFlight,200,Ok,Order 1-1,text,true,,2967,966,1,1,http://localhost:8090/WebTours/reservations.pl,425,0,0
1727095718317,231,PaymentDet,200,Ok,Order 1-1,text,true,,2801,1146,1,1,http://localhost:8090/WebTours/reservations.pl,231,0,0
1727095718549,220,OpenWebTours,200,Ok,Order 1-1,text,true,,1016,688,1,1,http://localhost:8090/WebTours/welcome.pl?signOff=true,220,0,1
1727095718769,428,NavForSignOFF,200,Ok,Order 1-1,text,true,,3010,586,1,1,http://localhost:8090/WebTours/nav.pl?in=home,428,0,0
1727095719198,427,Login,200,Ok,Order 1-1,text,true,,822,804,1,1,http://localhost:8090/WebTours/login.pl,427,0,0
1727095719626,219,OpenHome,200,Ok,Order 1-1,text,true,,1143,716,1,1,http://localhost:8090/WebTours/login.pl?intro=true,219,0,0
